region,year,urt,n_hh
C-EEU-HRV,2003,rur,760609.2159043519
C-EEU-HRV,2004,rur,756358.0324348176
C-EEU-HRV,2005,rur,750357.2814674294
C-EEU-HRV,2006,rur,745878.0059726246
C-EEU-HRV,2007,rur,741274.5216843275
C-EEU-HRV,2008,rur,736546.8286025381
C-EEU-HRV,2009,rur,731694.9267272563
C-EEU-HRV,2010,rur,726718.816058482
C-EEU-HRV,2011,rur,714535.8283962465
C-EEU-HRV,2012,rur,702420.1427810596
C-EEU-HRV,2013,rur,690371.7592129209
C-EEU-HRV,2014,rur,678390.6776918308
C-EEU-HRV,2015,rur,666476.898217789
C-EEU-HRV,2016,rur,653928.8796239949
C-EEU-HRV,2017,rur,641468.5075584834
C-EEU-HRV,2018,rur,629095.7820212543
C-EEU-HRV,2019,rur,616810.7030123078
C-EEU-HRV,2020,rur,604613.27053
C-EEU-HRV,2025,rur,549867.66007
C-EEU-HRV,2030,rur,500900.01413
C-EEU-HRV,2035,rur,457805.80332
C-EEU-HRV,2040,rur,419782.84286
C-EEU-HRV,2045,rur,386465.06766
C-EEU-HRV,2050,rur,357443.54284
C-EEU-HRV,2000,urb,689316.5127342119
C-EEU-HRV,2001,urb,703179.6995252299
C-EEU-HRV,2002,urb,717167.0951097404
C-EEU-HRV,2003,urb,731278.6994877433
C-EEU-HRV,2004,urb,745514.5126592387
C-EEU-HRV,2005,urb,758232.1181333454
C-EEU-HRV,2006,urb,772696.0233301109
C-EEU-HRV,2007,urb,787284.1373203689
C-EEU-HRV,2008,urb,801996.4601041194
C-EEU-HRV,2009,urb,816832.9916813623
C-EEU-HRV,2010,urb,831793.7320520973
C-EEU-HRV,2011,urb,838566.5873149422
C-EEU-HRV,2012,urb,845272.1405307386
C-EEU-HRV,2013,urb,851910.3916994866
C-EEU-HRV,2014,urb,858481.3408211863
C-EEU-HRV,2015,urb,864984.9878958374
C-EEU-HRV,2016,urb,870487.4656309064
C-EEU-HRV,2017,urb,875902.2968376926
C-EEU-HRV,2018,urb,881229.4815161964
C-EEU-HRV,2019,urb,886469.0196664176
C-EEU-HRV,2020,urb,891620.91129
C-EEU-HRV,2025,urb,924347.89549
C-EEU-HRV,2030,urb,951152.4387
C-EEU-HRV,2035,urb,973911.11975
C-EEU-HRV,2040,urb,993151.66694
C-EEU-HRV,2045,urb,1010076.93234
C-EEU-HRV,2050,urb,1025905.43676
C-EEU-HUN,2000,rur,1393096.9044401299
C-EEU-HUN,2001,rur,1375207.6122863856
C-EEU-HUN,2002,rur,1357352.1817326637
C-EEU-HUN,2003,rur,1339530.612778963
C-EEU-HUN,2004,rur,1321742.9054252845
C-EEU-HUN,2005,rur,1304989.2409234005
C-EEU-HUN,2006,rur,1287256.6854514494
C-EEU-HUN,2007,rur,1269557.9915795203
C-EEU-HUN,2008,rur,1251893.1593076126
C-EEU-HUN,2009,rur,1234262.1886357272
C-EEU-HUN,2010,rur,1216665.079563863
C-EEU-HUN,2011,rur,1226531.399791187
C-EEU-HUN,2012,rur,1235685.813398613
C-EEU-HUN,2013,rur,1244128.3203861408
C-EEU-HUN,2014,rur,1251858.9207537707
C-EEU-HUN,2015,rur,1258877.6145015024
C-EEU-HUN,2016,rur,1243294.9920662262
C-EEU-HUN,2017,rur,1227639.005238468
C-EEU-HUN,2018,rur,1211909.654018228
C-EEU-HUN,2019,rur,1196106.9384055063
C-EEU-HUN,2020,rur,1180230.8584
C-EEU-HUN,2025,rur,1093295.41693
C-EEU-HUN,2030,rur,1014320.74649
C-EEU-HUN,2035,rur,940573.08065
C-EEU-HUN,2040,rur,873029.54985
C-EEU-HUN,2045,rur,812163.0061
C-EEU-HUN,2050,rur,746636.46764
C-EEU-HUN,2000,urb,2520096.647357987
C-EEU-HUN,2001,urb,2533964.3718131776
C-EEU-HUN,2002,urb,2547798.2346683466
C-EEU-HUN,2003,urb,2561598.2359234947
C-EEU-HUN,2004,urb,2575364.3755786195
C-EEU-HUN,2005,urb,2591082.533739684
C-EEU-HUN,2006,urb,2604793.521513082
C-EEU-HUN,2007,urb,2618470.647686458
C-EEU-HUN,2008,urb,2632113.9122598125
C-EEU-HUN,2009,urb,2645723.3152331444
C-EEU-HUN,2010,urb,2659298.856606455
C-EEU-HUN,2011,urb,2733982.0161769968
C-EEU-HUN,2012,urb,2809377.0823674356
C-EEU-HUN,2013,urb,2885484.0551777743
C-EEU-HUN,2014,urb,2962302.934608009
C-EEU-HUN,2015,urb,3039833.720658143
C-EEU-HUN,2016,urb,3064129.4538394907
C-EEU-HUN,2017,urb,3088498.551413319
C-EEU-HUN,2018,urb,3112941.0133796306
C-EEU-HUN,2019,urb,3137456.839738423
C-EEU-HUN,2020,urb,3162046.03049
C-EEU-HUN,2025,urb,3266805.9467
C-EEU-HUN,2030,urb,3364546.23025
C-EEU-HUN,2035,urb,3448885.01459
C-EEU-HUN,2040,urb,3524882.64527
C-EEU-HUN,2045,urb,3598170.9939
C-EEU-HUN,2050,urb,3618127.16873
C-EEU-LTU,2000,rur,506394.6053483537
C-EEU-LTU,2001,rur,502487.1549589387
C-EEU-LTU,2002,rur,498550.0137630858
C-EEU-LTU,2003,rur,494583.18176079495
C-EEU-LTU,2004,rur,490586.6589520664
C-EEU-LTU,2005,rur,486258.4065721337
C-EEU-LTU,2006,rur,482205.8436737137
C-EEU-LTU,2007,rur,478123.5899688558
C-EEU-LTU,2008,rur,474011.6454575601
C-EEU-LTU,2009,rur,469870.0101398265
C-EEU-LTU,2010,rur,465698.684015655
C-EEU-LTU,2011,rur,457559.8927694357
C-EEU-LTU,2012,rur,449484.7344632823
C-EEU-LTU,2013,rur,441473.20909719437
C-EEU-LTU,2014,rur,433525.3166711723
C-EEU-LTU,2015,rur,425641.05718521576
C-EEU-LTU,2016,rur,417447.88617396355
C-EEU-LTU,2017,rur,409327.7333299886
C-EEU-LTU,2018,rur,401280.5986532906
C-EEU-LTU,2019,rur,393306.48214387003
C-EEU-LTU,2020,rur,385405.3838
C-EEU-LTU,2025,rur,353655.46841
C-EEU-LTU,2030,rur,320624.45756
C-EEU-LTU,2035,rur,291410.07737
C-EEU-LTU,2040,rur,265693.56476
C-EEU-LTU,2045,rur,243416.72827
C-EEU-LTU,2050,rur,220468.154
C-EEU-LTU,2000,urb,802456.7912615022
C-EEU-LTU,2001,urb,810024.3509258037
C-EEU-LTU,2002,urb,817621.6013965426
C-EEU-LTU,2003,urb,825248.5426737198
C-EEU-LTU,2004,urb,832905.1747573346
C-EEU-LTU,2005,urb,840069.6894731811
C-EEU-LTU,2006,urb,847782.3616464874
C-EEU-LTU,2007,urb,855524.7246262311
C-EEU-LTU,2008,urb,863296.7784124132
C-EEU-LTU,2009,urb,871098.5230050329
C-EEU-LTU,2010,urb,878929.9584040907
C-EEU-LTU,2011,urb,879224.4523049339
C-EEU-LTU,2012,urb,879455.3132657112
C-EEU-LTU,2013,urb,879622.541286423
C-EEU-LTU,2014,urb,879726.136367069
C-EEU-LTU,2015,urb,879766.0985076494
C-EEU-LTU,2016,urb,878958.0161563288
C-EEU-LTU,2017,urb,878076.9156377309
C-EEU-LTU,2018,urb,877122.7969518555
C-EEU-LTU,2019,urb,876095.6600987031
C-EEU-LTU,2020,urb,874995.50508
C-EEU-LTU,2025,urb,885067.71341
C-EEU-LTU,2030,urb,881386.70523
C-EEU-LTU,2035,urb,877081.3512
C-EEU-LTU,2040,urb,872863.0206
C-EEU-LTU,2045,urb,870363.77172
C-EEU-LTU,2050,urb,855826.29044
C-EEU-LVA,2000,rur,331989.6081522832
C-EEU-LVA,2001,rur,327333.99442299595
C-EEU-LVA,2002,rur,322705.08919532836
C-EEU-LVA,2003,rur,318102.89246928046
C-EEU-LVA,2004,rur,313527.4042448522
C-EEU-LVA,2005,rur,308782.5121701034
C-EEU-LVA,2006,rur,304262.5201699907
C-EEU-LVA,2007,rur,299769.2366714978
C-EEU-LVA,2008,rur,295302.6616746245
C-EEU-LVA,2009,rur,290862.79517937085
C-EEU-LVA,2010,rur,286449.63718573685
C-EEU-LVA,2011,rur,281899.96221592807
C-EEU-LVA,2012,rur,277380.6919724271
C-EEU-LVA,2013,rur,272891.8264552339
C-EEU-LVA,2014,rur,268433.3656643485
C-EEU-LVA,2015,rur,264005.3095997708
C-EEU-LVA,2016,rur,259821.6313334797
C-EEU-LVA,2017,rur,255663.2216245039
C-EEU-LVA,2018,rur,251530.0804728435
C-EEU-LVA,2019,rur,247422.20787849842
C-EEU-LVA,2020,rur,243339.60384
C-EEU-LVA,2025,rur,224290.96984
C-EEU-LVA,2030,rur,203166.37693
C-EEU-LVA,2035,rur,184810.91895
C-EEU-LVA,2040,rur,169335.79652
C-EEU-LVA,2045,rur,156297.31
C-EEU-LVA,2050,rur,145095.48915
C-EEU-LVA,2000,urb,552302.0258468193
C-EEU-LVA,2001,urb,553424.7689914957
C-EEU-LVA,2002,urb,554520.8036345524
C-EEU-LVA,2003,urb,555590.1297759895
C-EEU-LVA,2004,urb,556632.7474158069
C-EEU-LVA,2005,urb,557294.7104201507
C-EEU-LVA,2006,urb,558281.8318356525
C-EEU-LVA,2007,urb,559242.2447495346
C-EEU-LVA,2008,urb,560175.9491617972
C-EEU-LVA,2009,urb,561082.9450724401
C-EEU-LVA,2010,urb,561963.2324814632
C-EEU-LVA,2011,urb,562491.1182571227
C-EEU-LVA,2012,urb,562988.5993064744
C-EEU-LVA,2013,urb,563455.6756295185
C-EEU-LVA,2014,urb,563892.3472262546
C-EEU-LVA,2015,urb,564298.6140966831
C-EEU-LVA,2016,urb,565139.8906016835
C-EEU-LVA,2017,urb,565955.8985493685
C-EEU-LVA,2018,urb,566746.6379397381
C-EEU-LVA,2019,urb,567512.1087727923
C-EEU-LVA,2020,urb,568252.31105
C-EEU-LVA,2025,urb,574096.42147
C-EEU-LVA,2030,urb,568126.9564
C-EEU-LVA,2035,urb,562896.80832
C-EEU-LVA,2040,urb,560213.97092
C-EEU-LVA,2045,urb,560202.69
C-EEU-LVA,2050,urb,562066.46207
C-EEU-POL,2000,rur,6485686.2037816495
C-EEU-POL,2001,rur,6420103.968553427
C-EEU-POL,2002,rur,6354440.091655746
C-EEU-POL,2003,rur,6288694.573088608
C-EEU-POL,2004,rur,6222867.412852011
C-EEU-POL,2005,rur,6153610.588866423
C-EEU-POL,2006,rur,6087657.97197173
C-EEU-POL,2007,rur,6021623.713407579
C-EEU-POL,2008,rur,5955507.813173968
C-EEU-POL,2009,rur,5889310.271270903
C-EEU-POL,2010,rur,5823031.087698376
C-EEU-POL,2011,rur,5744878.2620134475
C-EEU-POL,2012,rur,5666929.628287341
C-EEU-POL,2013,rur,5589185.186520054
C-EEU-POL,2014,rur,5511644.936711589
C-EEU-POL,2015,rur,5434308.878861941
C-EEU-POL,2016,rur,5383525.5891505405
C-EEU-POL,2017,rur,5332266.611823494
C-EEU-POL,2018,rur,5280531.946880802
C-EEU-POL,2019,rur,5228321.594322465
C-EEU-POL,2020,rur,5175635.55415
C-EEU-POL,2025,rur,4980778.74979
C-EEU-POL,2030,rur,4636939.96946
C-EEU-POL,2035,rur,4318416.80705
C-EEU-POL,2040,rur,4028730.56499
C-EEU-POL,2045,rur,3766928.89907
C-EEU-POL,2050,rur,3533942.31154
C-EEU-POL,2000,urb,7297809.7875934765
C-EEU-POL,2001,urb,7371504.2713767765
C-EEU-POL,2002,urb,7445280.396829534
C-EEU-POL,2003,urb,7519138.163951752
C-EEU-POL,2004,urb,7593077.572743426
C-EEU-POL,2005,urb,7662929.419365703
C-EEU-POL,2006,urb,7736994.2848154735
C-EEU-POL,2007,urb,7811140.791934702
C-EEU-POL,2008,urb,7885368.9407233875
C-EEU-POL,2009,urb,7959678.731181532
C-EEU-POL,2010,urb,8034070.163309136
C-EEU-POL,2011,urb,8091933.644914134
C-EEU-POL,2012,urb,8149592.934560312
C-EEU-POL,2013,urb,8207048.032247669
C-EEU-POL,2014,urb,8264298.937976206
C-EEU-POL,2015,urb,8321345.651745921
C-EEU-POL,2016,urb,8419395.19897375
C-EEU-POL,2017,urb,8517920.433817225
C-EEU-POL,2018,urb,8616921.356276345
C-EEU-POL,2019,urb,8716397.966351109
C-EEU-POL,2020,urb,8816350.26404
C-EEU-POL,2025,urb,9467149.39836
C-EEU-POL,2030,urb,9780957.38903
C-EEU-POL,2035,urb,10057617.03911
C-EEU-POL,2040,urb,10312471.78795
C-EEU-POL,2045,urb,10552183.50093
C-EEU-POL,2050,urb,10792076.46397
C-EEU-ROU,2000,rur,3996472.2528135227
C-EEU-ROU,2001,rur,3969466.60550095
C-EEU-ROU,2002,rur,3942140.4350981736
C-EEU-ROU,2003,rur,3914493.7416051906
C-EEU-ROU,2004,rur,3886526.525022005
C-EEU-ROU,2005,rur,3845771.9342469852
C-EEU-ROU,2006,rur,3817302.1974197375
C-EEU-ROU,2007,rur,3788511.937502286
C-EEU-ROU,2008,rur,3759401.154494629
C-EEU-ROU,2009,rur,3729969.8483967683
C-EEU-ROU,2010,rur,3700218.019208703
C-EEU-ROU,2011,rur,3641886.3868907792
C-EEU-ROU,2012,rur,3583907.099423125
C-EEU-ROU,2013,rur,3526280.156805743
C-EEU-ROU,2014,rur,3469005.5590386298
C-EEU-ROU,2015,rur,3412083.306121788
C-EEU-ROU,2016,rur,3361822.269729678
C-EEU-ROU,2017,rur,3311753.8528655516
C-EEU-ROU,2018,rur,3261878.0555294096
C-EEU-ROU,2019,rur,3212194.8777212496
C-EEU-ROU,2020,rur,3162704.31944
C-EEU-ROU,2025,rur,2915330.69291
C-EEU-ROU,2030,rur,2692944.42433
C-EEU-ROU,2035,rur,2485022.84636
C-EEU-ROU,2040,rur,2296700.14616
C-EEU-ROU,2045,rur,2125397.69355
C-EEU-ROU,2050,rur,1969709.7888
C-EEU-ROU,2000,urb,3340408.382521536
C-EEU-ROU,2001,urb,3395363.3749815146
C-EEU-ROU,2002,urb,3450638.8905316964
C-EEU-ROU,2003,urb,3506234.9291720833
C-EEU-ROU,2004,urb,3562151.490902674
C-EEU-ROU,2005,urb,3606696.7354535824
C-EEU-ROU,2006,urb,3663115.817428235
C-EEU-ROU,2007,urb,3719855.4224930913
C-EEU-ROU,2008,urb,3776915.5506481533
C-EEU-ROU,2009,urb,3834296.2018934186
C-EEU-ROU,2010,urb,3891997.3762288895
C-EEU-ROU,2011,urb,3919604.8325604945
C-EEU-ROU,2012,urb,3946859.944041828
C-EEU-ROU,2013,urb,3973762.7106728912
C-EEU-ROU,2014,urb,4000313.1324536847
C-EEU-ROU,2015,urb,4026511.2093842076
C-EEU-ROU,2016,urb,4059975.984183118
C-EEU-ROU,2017,urb,4093248.1394540453
C-EEU-ROU,2018,urb,4126327.675196989
C-EEU-ROU,2019,urb,4159214.5914119496
C-EEU-ROU,2020,urb,4191908.8881
C-EEU-ROU,2025,urb,4348299.6917
C-EEU-ROU,2030,urb,4487474.79135
C-EEU-ROU,2035,urb,4596024.75364
C-EEU-ROU,2040,urb,4685849.24159
C-EEU-ROU,2045,urb,4757143.97311
C-EEU-ROU,2050,urb,4811869.78567
C-EEU-SVK,2000,rur,1040754.8338221805
C-EEU-SVK,2001,rur,1031054.0445511196
C-EEU-SVK,2002,rur,1021324.7832453061
C-EEU-SVK,2003,rur,1011567.0499047398
C-EEU-SVK,2004,rur,1001780.844529421
C-EEU-SVK,2005,rur,991357.0261303784
C-EEU-SVK,2006,rur,981520.6935356698
C-EEU-SVK,2007,rur,971655.8889062088
C-EEU-SVK,2008,rur,961762.612241995
C-EEU-SVK,2009,rur,951840.8635430285
C-EEU-SVK,2010,rur,941890.6428093094
C-EEU-SVK,2011,rur,931213.8659882395
C-EEU-SVK,2012,rur,920525.3661655381
C-EEU-SVK,2013,rur,909825.1433412047
C-EEU-SVK,2014,rur,899113.19751524
C-EEU-SVK,2015,rur,888389.5286876436
C-EEU-SVK,2016,rur,881521.3522829894
C-EEU-SVK,2017,rur,874542.7467092352
C-EEU-SVK,2018,rur,867453.7119663813
C-EEU-SVK,2019,rur,860254.2480544272
C-EEU-SVK,2020,rur,852944.35497
C-EEU-SVK,2025,rur,816909.88556
C-EEU-SVK,2030,rur,771808.70846
C-EEU-SVK,2035,rur,727414.01923
C-EEU-SVK,2040,rur,684997.75706
C-EEU-SVK,2045,rur,645979.80148
C-EEU-SVK,2050,rur,610597.03166
C-EEU-SVK,2000,urb,867521.5075522126
C-EEU-SVK,2001,urb,879685.2756081052
C-EEU-SVK,2002,urb,891877.5156987506
C-EEU-SVK,2003,urb,904098.2278241486
C-EEU-SVK,2004,urb,916347.4119842994
C-EEU-SVK,2005,urb,928054.8233350095
C-EEU-SVK,2006,urb,940354.1347145498
C-EEU-SVK,2007,urb,952681.9181288427
C-EEU-SVK,2008,urb,965038.1735778884
C-EEU-SVK,2009,urb,977422.9010616867
C-EEU-SVK,2010,urb,989836.1005802377
C-EEU-SVK,2011,urb,1001526.9778884741
C-EEU-SVK,2012,urb,1013229.5781983424
C-EEU-SVK,2013,urb,1024943.9015098418
C-EEU-SVK,2014,urb,1036669.9478229732
C-EEU-SVK,2015,urb,1048407.7171377363
C-EEU-SVK,2016,urb,1064828.5898313145
C-EEU-SVK,2017,urb,1081359.8916939925
C-EEU-SVK,2018,urb,1098001.6227257706
C-EEU-SVK,2019,urb,1114753.7829266486
C-EEU-SVK,2020,urb,1131616.3723
C-EEU-SVK,2025,urb,1220830.85519
C-EEU-SVK,2030,urb,1290031.6689
C-EEU-SVK,2035,urb,1350911.75
C-EEU-SVK,2040,urb,1405003.02725
C-EEU-SVK,2045,urb,1455314.19852
C-EEU-SVK,2050,urb,1503365.82549
C-EEU-SVN,2000,rur,349796.24626086606
C-EEU-SVN,2001,rur,354488.1029378357
C-EEU-SVN,2002,rur,359001.86679106625
C-EEU-SVN,2003,rur,363337.53782055795
C-EEU-SVN,2004,rur,367495.11602631066
C-EEU-SVN,2005,rur,374694.8048135581
C-EEU-SVN,2006,rur,378460.42840455327
C-EEU-SVN,2007,rur,382047.9591718094
C-EEU-SVN,2008,rur,385457.39711532666
C-EEU-SVN,2009,rur,388688.74223510484
C-EEU-SVN,2010,rur,391741.9945311441
C-EEU-SVN,2011,rur,390605.9367094988
C-EEU-SVN,2012,rur,389387.2595779066
C-EEU-SVN,2013,rur,388085.96313636756
C-EEU-SVN,2014,rur,386702.04738488165
C-EEU-SVN,2015,rur,385235.5123234489
C-EEU-SVN,2016,rur,382757.37795358704
C-EEU-SVN,2017,rur,380220.1344651325
C-EEU-SVN,2018,rur,377623.78185808513
C-EEU-SVN,2019,rur,374968.32013244525
C-EEU-SVN,2020,rur,372253.74929
C-EEU-SVN,2025,rur,354395.8984
C-EEU-SVN,2030,rur,336449.02276
C-EEU-SVN,2035,rur,319580.5944
C-EEU-SVN,2040,rur,304177.03881
C-EEU-SVN,2045,rur,290210.27105
C-EEU-SVN,2050,rur,277315.58618
C-EEU-SVN,2000,urb,291044.01143528335
C-EEU-SVN,2001,urb,301854.66378851637
C-EEU-SVN,2002,urb,312843.40896548826
C-EEU-SVN,2003,urb,324010.2469661992
C-EEU-SVN,2004,urb,335355.17779064906
C-EEU-SVN,2005,urb,349885.18593048246
C-EEU-SVN,2006,urb,361622.07136968995
C-EEU-SVN,2007,urb,373537.04963263636
C-EEU-SVN,2008,urb,385630.1207193218
C-EEU-SVN,2009,urb,397901.2846297463
C-EEU-SVN,2010,urb,410350.54136390955
C-EEU-SVN,2011,urb,418678.39148594247
C-EEU-SVN,2012,urb,427088.8609179221
C-EEU-SVN,2013,urb,435581.9496598489
C-EEU-SVN,2014,urb,444157.6577117223
C-EEU-SVN,2015,urb,452815.9850735426
C-EEU-SVN,2016,urb,460439.41180000623
C-EEU-SVN,2017,urb,468121.9476450626
C-EEU-SVN,2018,urb,475863.5926087115
C-EEU-SVN,2019,urb,483664.3466909532
C-EEU-SVN,2020,urb,491524.20989
C-EEU-SVN,2025,urb,526659.93493
C-EEU-SVN,2030,urb,558505.0198
C-EEU-SVN,2035,urb,588499.4056
C-EEU-SVN,2040,urb,617459.85008
