region,urt,year,cool_use_Kwh,fuel
C-EEU-EST,rur,2070,1173400.435522441,electricity
C-EEU-EST,rur,2080,1072821.9753984334,electricity
C-EEU-EST,rur,2090,965934.7934873258,electricity
C-EEU-EST,rur,2100,862982.8151091429,electricity
C-EEU-EST,urb,2020,2692764.5977489366,electricity
C-EEU-EST,urb,2025,3654331.1966745663,electricity
C-EEU-EST,urb,2030,4423696.035211121,electricity
C-EEU-EST,urb,2035,5180015.323310785,electricity
C-EEU-EST,urb,2040,5869880.426416934,electricity
C-EEU-EST,urb,2045,6556565.7617220525,electricity
C-EEU-EST,urb,2050,7178190.694811847,electricity
C-EEU-EST,urb,2055,7735324.820085618,electricity
C-EEU-EST,urb,2060,8222073.5250932425,electricity
C-EEU-EST,urb,2070,8976985.079395602,electricity
C-EEU-EST,urb,2080,9490356.126302404,electricity
C-EEU-EST,urb,2090,9822580.914856927,electricity
C-EEU-EST,urb,2100,9996110.86339476,electricity
C-EEU-HRV,rur,2020,155681082.6500698,electricity
C-EEU-HRV,rur,2025,151606413.17150497,electricity
C-EEU-HRV,rur,2030,155965966.10147968,electricity
C-EEU-HRV,rur,2035,158503116.64457315,electricity
C-EEU-HRV,rur,2040,163025464.87689304,electricity
C-EEU-HRV,rur,2045,172313381.75688,electricity
C-EEU-HRV,rur,2050,179632695.21090183,electricity
C-EEU-HRV,rur,2055,197316698.14222902,electricity
C-EEU-HRV,rur,2060,203627790.81079367,electricity
C-EEU-HRV,rur,2070,203627183.5696765,electricity
C-EEU-HRV,rur,2080,200207207.11303985,electricity
C-EEU-HRV,rur,2090,193528791.57246187,electricity
C-EEU-HRV,rur,2100,184655027.9286154,electricity
C-EEU-HRV,urb,2020,274185756.839932,electricity
C-EEU-HRV,urb,2025,303790160.62799156,electricity
C-EEU-HRV,urb,2030,331003119.0349507,electricity
C-EEU-HRV,urb,2035,362708080.6394783,electricity
C-EEU-HRV,urb,2040,395699524.1741455,electricity
C-EEU-HRV,urb,2045,437002067.9347668,electricity
C-EEU-HRV,urb,2050,470176362.00871223,electricity
C-EEU-HRV,urb,2055,506514804.2645203,electricity
C-EEU-HRV,urb,2060,537551981.2489433,electricity
C-EEU-HRV,urb,2070,590776540.0847951,electricity
C-EEU-HRV,urb,2080,630309300.0440966,electricity
C-EEU-HRV,urb,2090,652814547.0243735,electricity
C-EEU-HRV,urb,2100,657740332.0950435,electricity
C-EEU-HUN,rur,2020,234543410.0522943,electricity
C-EEU-HUN,rur,2025,256099968.6420892,electricity
C-EEU-HUN,rur,2030,274762753.3907349,electricity
C-EEU-HUN,rur,2035,288258199.4284304,electricity
C-EEU-HUN,rur,2040,294051350.2922772,electricity
C-EEU-HUN,rur,2045,297086801.54912573,electricity
C-EEU-HUN,rur,2050,297727679.9841762,electricity
C-EEU-HUN,rur,2055,292510784.38713884,electricity
C-EEU-HUN,rur,2060,286492514.7945168,electricity
C-EEU-HUN,rur,2070,265614203.39995873,electricity
C-EEU-HUN,rur,2080,236901217.88554585,electricity
C-EEU-HUN,rur,2090,205640737.53078958,electricity
C-EEU-HUN,rur,2100,175866831.99932483,electricity
C-EEU-HUN,urb,2020,681518964.6983724,electricity
C-EEU-HUN,urb,2025,788515406.1664013,electricity
C-EEU-HUN,urb,2030,895534727.0471084,electricity
C-EEU-HUN,urb,2035,998857567.5661712,electricity
C-EEU-HUN,urb,2040,1077855342.513681,electricity
C-EEU-HUN,urb,2045,1152885972.961507,electricity
C-EEU-HUN,urb,2050,1211886544.2048473,electricity
C-EEU-HUN,urb,2055,1259883400.4310083,electricity
C-EEU-HUN,urb,2060,1294136774.318487,electricity
C-EEU-HUN,urb,2070,1323253517.5768735,electricity
C-EEU-HUN,urb,2080,1321798852.3145204,electricity
C-EEU-HUN,urb,2090,1307248554.9377184,electricity
C-EEU-HUN,urb,2100,1276938299.1920383,electricity
C-EEU-LTU,rur,2020,6669698.26595577,electricity
C-EEU-LTU,rur,2025,7127959.089346436,electricity
C-EEU-LTU,rur,2030,7223683.163987327,electricity
C-EEU-LTU,rur,2035,7359283.255040392,electricity
C-EEU-LTU,rur,2040,7322948.99752567,electricity
C-EEU-LTU,rur,2045,7167331.469735418,electricity
C-EEU-LTU,rur,2050,6939858.592570331,electricity
C-EEU-LTU,rur,2055,6575005.020883098,electricity
C-EEU-LTU,rur,2060,6247624.8737741625,electricity
C-EEU-LTU,rur,2070,5727309.10501444,electricity
C-EEU-LTU,rur,2080,5188051.7088376265,electricity
C-EEU-LTU,rur,2090,4717703.931603099,electricity
C-EEU-LTU,rur,2100,4267002.394815018,electricity
C-EEU-LTU,urb,2020,17313249.918902125,electricity
C-EEU-LTU,urb,2025,20069416.784189098,electricity
C-EEU-LTU,urb,2030,22330413.318957217,electricity
C-EEU-LTU,urb,2035,24426739.340007767,electricity
C-EEU-LTU,urb,2040,26570172.31944837,electricity
C-EEU-LTU,urb,2045,28283526.026675265,electricity
C-EEU-LTU,urb,2050,29955434.494159456,electricity
C-EEU-LTU,urb,2055,31267056.647287797,electricity
C-EEU-LTU,urb,2060,32131389.369010046,electricity
C-EEU-LTU,urb,2070,33577292.79405476,electricity
C-EEU-LTU,urb,2080,34616786.6068375,electricity
C-EEU-LTU,urb,2090,35129975.574807614,electricity
C-EEU-LTU,urb,2100,35477805.044511855,electricity
C-EEU-LVA,rur,2020,2338643.448899654,electricity
C-EEU-LVA,rur,2025,2558201.6921324665,electricity
C-EEU-LVA,rur,2030,2713374.9186573154,electricity
C-EEU-LVA,rur,2035,2808876.2201703833,electricity
C-EEU-LVA,rur,2040,2805702.632961295,electricity
C-EEU-LVA,rur,2045,2826623.01376524,electricity
C-EEU-LVA,rur,2050,2774910.081444406,electricity
C-EEU-LVA,rur,2055,2725754.8984194817,electricity
C-EEU-LVA,rur,2060,2648858.4442294035,electricity
C-EEU-LVA,rur,2070,2506843.2932865135,electricity
C-EEU-LVA,rur,2080,2342207.4177788896,electricity
C-EEU-LVA,rur,2090,2163318.0940568824,electricity
C-EEU-LVA,rur,2100,1959078.8296502235,electricity
C-EEU-LVA,urb,2020,7647438.262911701,electricity
C-EEU-LVA,urb,2025,9259159.671534466,electricity
C-EEU-LVA,urb,2030,10456290.775580496,electricity
C-EEU-LVA,urb,2035,11646713.730742646,electricity
C-EEU-LVA,urb,2040,12697208.94503006,electricity
C-EEU-LVA,urb,2045,13768117.973683149,electricity
C-EEU-LVA,urb,2050,14769794.60694464,electricity
C-EEU-LVA,urb,2055,15588791.02937694,electricity
C-EEU-LVA,urb,2060,16287280.734596811,electricity
C-EEU-LVA,urb,2070,17426478.48579553,electricity
C-EEU-LVA,urb,2080,18022310.815707095,electricity
C-EEU-LVA,urb,2090,18319869.361234482,electricity
C-EEU-LVA,urb,2100,18296504.865265116,electricity
C-EEU-POL,rur,2020,250809362.76284322,electricity
C-EEU-POL,rur,2025,280227919.2672418,electricity
C-EEU-POL,rur,2030,296058563.3171997,electricity
C-EEU-POL,rur,2035,301440421.1591355,electricity
C-EEU-POL,rur,2040,307575048.959293,electricity
C-EEU-POL,rur,2045,306070239.21425575,electricity
C-EEU-POL,rur,2050,302403669.66693664,electricity
C-EEU-POL,rur,2055,296501122.8837364,electricity
C-EEU-POL,rur,2060,287437192.82125014,electricity
C-EEU-POL,rur,2070,274793876.1928365,electricity
C-EEU-POL,rur,2080,253910451.08705017,electricity
C-EEU-POL,rur,2090,230137323.13149348,electricity
C-EEU-POL,rur,2100,207851546.8661695,electricity
C-EEU-POL,urb,2020,469034078.1662837,electricity
C-EEU-POL,urb,2025,595845396.3803467,electricity
C-EEU-POL,urb,2030,692397209.2129629,electricity
C-EEU-POL,urb,2035,789799296.9948537,electricity
C-EEU-POL,urb,2040,880151135.9775317,electricity
C-EEU-POL,urb,2045,965525765.500156,electricity
C-EEU-POL,urb,2050,1038124280.3879437,electricity
C-EEU-POL,urb,2055,1097123529.5652556,electricity
C-EEU-POL,urb,2060,1149371199.8320227,electricity
C-EEU-POL,urb,2070,1216527017.869407,electricity
C-EEU-POL,urb,2080,1237266367.6354306,electricity
C-EEU-POL,urb,2090,1242327857.4134996,electricity
C-EEU-POL,urb,2100,1247494808.7467372,electricity
C-EEU-ROU,rur,2020,341169759.8433056,electricity
C-EEU-ROU,rur,2025,451690012.23135394,electricity
C-EEU-ROU,rur,2030,544825612.0778724,electricity
C-EEU-ROU,rur,2035,606536461.91803,electricity
C-EEU-ROU,rur,2040,650623422.3034883,electricity
C-EEU-ROU,rur,2045,683541193.8014301,electricity
C-EEU-ROU,rur,2050,700287952.8881016,electricity
C-EEU-ROU,rur,2055,712861556.2602319,electricity
C-EEU-ROU,rur,2060,719854173.8217696,electricity
C-EEU-ROU,rur,2070,698670607.0663695,electricity
C-EEU-ROU,rur,2080,661008241.5335537,electricity
C-EEU-ROU,rur,2090,607545407.0301765,electricity
C-EEU-ROU,rur,2100,547474824.272723,electricity
C-EEU-ROU,urb,2020,668922996.2619973,electricity
C-EEU-ROU,urb,2025,883038540.3779958,electricity
C-EEU-ROU,urb,2030,1078949213.162917,electricity
C-EEU-ROU,urb,2035,1280332942.6360037,electricity
C-EEU-ROU,urb,2040,1432991154.7952442,electricity
C-EEU-ROU,urb,2045,1594570116.4598694,electricity
C-EEU-ROU,urb,2050,1725023119.9480271,electricity
C-EEU-ROU,urb,2055,1831844803.2425623,electricity
C-EEU-ROU,urb,2060,1910405181.8296654,electricity
C-EEU-ROU,urb,2070,1979515231.0419197,electricity
C-EEU-ROU,urb,2080,1986628933.552676,electricity
C-EEU-ROU,urb,2090,1975721633.599112,electricity
C-EEU-ROU,urb,2100,1951486496.5629282,electricity
C-EEU-SVK,rur,2020,51762340.818365395,electricity
C-EEU-SVK,rur,2025,56983887.07133475,electricity
C-EEU-SVK,rur,2030,59970194.340604015,electricity
C-EEU-SVK,rur,2035,61377359.59799214,electricity
C-EEU-SVK,rur,2040,61955553.74001916,electricity
C-EEU-SVK,rur,2045,61712766.20727983,electricity
C-EEU-SVK,rur,2050,60324428.63703925,electricity
C-EEU-SVK,rur,2055,59465592.981766246,electricity
C-EEU-SVK,rur,2060,57575707.34394906,electricity
C-EEU-SVK,rur,2070,53907229.42196985,electricity
C-EEU-SVK,rur,2080,49403798.63789572,electricity
C-EEU-SVK,rur,2090,44788057.12639453,electricity
C-EEU-SVK,rur,2100,40548281.49548661,electricity
C-EEU-SVK,urb,2020,84583369.26255757,electricity
C-EEU-SVK,urb,2025,103600294.67614722,electricity
C-EEU-SVK,urb,2030,121046889.58394867,electricity
C-EEU-SVK,urb,2035,137833751.4654976,electricity
C-EEU-SVK,urb,2040,152176691.96190625,electricity
C-EEU-SVK,urb,2045,165242675.74926677,electricity
C-EEU-SVK,urb,2050,177082974.9507172,electricity
C-EEU-SVK,urb,2055,187464149.1390446,electricity
C-EEU-SVK,urb,2060,196145392.71381244,electricity
C-EEU-SVK,urb,2070,207578630.98463953,electricity
C-EEU-SVK,urb,2080,213041474.74089053,electricity
C-EEU-SVK,urb,2090,216463979.6934288,electricity
C-EEU-SVK,urb,2100,219060234.0158197,electricity
C-EEU-SVN,rur,2020,5912024.36793821,electricity
C-EEU-SVN,rur,2025,6361429.4191082185,electricity
C-EEU-SVN,rur,2030,6799032.003830733,electricity
C-EEU-SVN,rur,2035,7090383.719294891,electricity
C-EEU-SVN,rur,2040,7370047.26355102,electricity
C-EEU-SVN,rur,2045,7507221.096351631,electricity
C-EEU-SVN,rur,2050,7584404.704638834,electricity
C-EEU-SVN,rur,2055,7560239.135733504,electricity
C-EEU-SVN,rur,2060,7452300.638012875,electricity
C-EEU-SVN,rur,2070,7140424.134954937,electricity
C-EEU-SVN,rur,2080,6651814.286498549,electricity
C-EEU-SVN,rur,2090,6132422.211164316,electricity
C-EEU-SVN,rur,2100,5606913.003974998,electricity
C-EEU-SVN,urb,2020,9060573.539379692,electricity
C-EEU-SVN,urb,2025,11726732.948818095,electricity
C-EEU-SVN,urb,2030,14475737.276769845,electricity
C-EEU-SVN,urb,2035,17244069.419511504,electricity
C-EEU-SVN,urb,2040,19937684.926482476,electricity
C-EEU-SVN,urb,2045,22553732.387015764,electricity
C-EEU-SVN,urb,2050,25008259.825942922,electricity
C-EEU-SVN,urb,2055,27248357.585520234,electricity
C-EEU-SVN,urb,2060,29258079.662477482,electricity
C-EEU-SVN,urb,2070,32528136.607611474,electricity
C-EEU-SVN,urb,2080,34889479.063295946,electricity
C-EEU-SVN,urb,2090,36480210.98494228,electricity
C-EEU-SVN,urb,2100,37359228.56533106,electricity
C-WEU-AUT,rur,2020,126017723.36122543,electricity
C-WEU-AUT,rur,2025,123165839.57855941,electricity
C-WEU-AUT,rur,2030,118860856.71092516,electricity
C-WEU-AUT,rur,2035,115612432.7087363,electricity
C-WEU-AUT,rur,2040,111601252.41462263,electricity
C-WEU-AUT,rur,2045,107340783.25087097,electricity
C-WEU-AUT,rur,2050,103070426.29685457,electricity
C-WEU-AUT,rur,2055,99134760.04450203,electricity
C-WEU-AUT,rur,2060,94448212.90045618,electricity
C-WEU-AUT,rur,2070,85320571.72961904,electricity
C-WEU-AUT,rur,2080,76601305.12653723,electricity
C-WEU-AUT,rur,2090,68045884.90307082,electricity
C-WEU-AUT,rur,2100,60104518.65318064,electricity
C-WEU-AUT,urb,2020,474916446.67586005,electricity
C-WEU-AUT,urb,2025,523996137.0358017,electricity
C-WEU-AUT,urb,2030,565375422.2367928,electricity
C-WEU-AUT,urb,2035,603921498.7481563,electricity
C-WEU-AUT,urb,2040,640161769.9481384,electricity
C-WEU-AUT,urb,2045,674557774.9309222,electricity
C-WEU-AUT,urb,2050,706699531.5347087,electricity
C-WEU-AUT,urb,2055,735320978.3775539,electricity
C-WEU-AUT,urb,2060,760544981.7634525,electricity
C-WEU-AUT,urb,2070,802457704.5851796,electricity
C-WEU-AUT,urb,2080,833570435.4065986,electricity
C-WEU-AUT,urb,2090,847477307.2726197,electricity
C-WEU-AUT,urb,2100,848290411.4937037,electricity
C-WEU-BEL,rur,2020,7004399.960657589,electricity
C-WEU-BEL,rur,2025,7895386.674233592,electricity
C-WEU-BEL,rur,2030,8998179.653287742,electricity
C-WEU-BEL,rur,2035,10072248.576057423,electricity
C-WEU-BEL,rur,2040,11167705.121594008,electricity
C-WEU-BEL,rur,2045,12379267.206993196,electricity
C-WEU-BEL,rur,2050,13550913.440849314,electricity
C-WEU-BEL,rur,2055,14610145.106941737,electricity
C-WEU-BEL,rur,2060,15653630.442121292,electricity
C-WEU-BEL,rur,2070,17550519.642803453,electricity
C-WEU-BEL,rur,2080,19202663.185419623,electricity
C-WEU-BEL,rur,2090,20508889.346326977,electricity
C-WEU-BEL,rur,2100,21473071.16816894,electricity
C-WEU-BEL,urb,2020,258993034.3783267,electricity
C-WEU-BEL,urb,2025,281336706.70407677,electricity
C-WEU-BEL,urb,2030,303689375.48873085,electricity
C-WEU-BEL,urb,2035,325482421.5940371,electricity
C-WEU-BEL,urb,2040,347568419.10942423,electricity
C-WEU-BEL,urb,2045,369431524.76855284,electricity
C-WEU-BEL,urb,2050,390637455.2673452,electricity
C-WEU-BEL,urb,2055,409889937.2295821,electricity
C-WEU-BEL,urb,2060,427719862.6885189,electricity
C-WEU-BEL,urb,2070,459602053.79645014,electricity
C-WEU-BEL,urb,2080,485290192.5476436,electricity
C-WEU-BEL,urb,2090,500447440.25264096,electricity
C-WEU-BEL,urb,2100,505996933.61630774,electricity
C-WEU-CHE,rur,2020,72129326.60994235,electricity
C-WEU-CHE,rur,2025,69486744.94157855,electricity
C-WEU-CHE,rur,2030,66172229.38806845,electricity
C-WEU-CHE,rur,2035,62766525.869916596,electricity
C-WEU-CHE,rur,2040,60231364.478142425,electricity
C-WEU-CHE,rur,2045,57914265.408316016,electricity
C-WEU-CHE,rur,2050,55634893.90195882,electricity
C-WEU-CHE,rur,2055,53256014.19293008,electricity
C-WEU-CHE,rur,2060,50683524.41434547,electricity
C-WEU-CHE,rur,2070,45650909.05255746,electricity
C-WEU-CHE,rur,2080,40978008.889461,electricity
C-WEU-CHE,rur,2090,36672041.28033723,electricity
C-WEU-CHE,rur,2100,32739236.640927643,electricity
C-WEU-CHE,urb,2020,201797510.52758536,electricity
C-WEU-CHE,urb,2025,227976009.4574984,electricity
C-WEU-CHE,urb,2030,249302780.37459266,electricity
C-WEU-CHE,urb,2035,268902516.7920809,electricity
C-WEU-CHE,urb,2040,287917924.72395027,electricity
C-WEU-CHE,urb,2045,306207344.51710004,electricity
C-WEU-CHE,urb,2050,324582503.00010073,electricity
C-WEU-CHE,urb,2055,341140318.97656214,electricity
C-WEU-CHE,urb,2060,355771233.5912206,electricity
C-WEU-CHE,urb,2070,379413285.13334954,electricity
C-WEU-CHE,urb,2080,397749911.5412511,electricity
C-WEU-CHE,urb,2090,409073446.0813982,electricity
C-WEU-CHE,urb,2100,413611409.7600158,electricity
C-WEU-CYP,rur,2020,582330102.286562,electricity
C-WEU-CYP,rur,2025,610266932.7764871,electricity
C-WEU-CYP,rur,2030,629388924.62045,electricity
C-WEU-CYP,rur,2035,657680812.6270077,electricity
C-WEU-CYP,rur,2040,683368723.3105547,electricity
C-WEU-CYP,rur,2045,696236871.4696976,electricity
C-WEU-CYP,rur,2050,719304990.3170989,electricity
C-WEU-CYP,rur,2055,737982262.4590625,electricity
C-WEU-CYP,rur,2060,753871179.7130438,electricity
C-WEU-CYP,rur,2070,779607520.1699944,electricity
C-WEU-CYP,rur,2080,774075439.0749278,electricity
C-WEU-CYP,rur,2090,733890626.2229233,electricity
C-WEU-CYP,rur,2100,681887975.4935982,electricity
C-WEU-CYP,urb,2020,1249102552.0353858,electricity
C-WEU-CYP,urb,2025,1378793084.3549654,electricity
C-WEU-CYP,urb,2030,1513327853.5161474,electricity
C-WEU-CYP,urb,2035,1641014027.0904422,electricity
C-WEU-CYP,urb,2040,1783225825.5952923,electricity
C-WEU-CYP,urb,2045,1935793799.2412648,electricity
C-WEU-CYP,urb,2050,2075651842.3287842,electricity
C-WEU-CYP,urb,2055,2219038421.567434,electricity
C-WEU-CYP,urb,2060,2360985482.272398,electricity
C-WEU-CYP,urb,2070,2600319957.0297565,electricity
C-WEU-CYP,urb,2080,2748414050.624162,electricity
C-WEU-CYP,urb,2090,2773689884.546012,electricity
C-WEU-CYP,urb,2100,2747550688.788073,electricity
C-WEU-DEU,rur,2020,772419633.2450486,electricity
C-WEU-DEU,rur,2025,728642401.0870752,electricity
C-WEU-DEU,rur,2030,676718238.2227589,electricity
C-WEU-DEU,rur,2035,637271584.053268,electricity
C-WEU-DEU,rur,2040,607637049.8430115,electricity
C-WEU-DEU,rur,2045,577202932.4444325,electricity
C-WEU-DEU,rur,2050,549156833.2485542,electricity
C-WEU-DEU,rur,2055,519696355.4878099,electricity
C-WEU-DEU,rur,2060,495059455.6365568,electricity
C-WEU-DEU,rur,2070,444278192.0573502,electricity
C-WEU-DEU,rur,2080,396101803.13335323,electricity
C-WEU-DEU,rur,2090,350108588.82761467,electricity
C-WEU-DEU,rur,2100,308402731.9168461,electricity
C-WEU-DEU,urb,2020,3488001546.8613877,electricity
C-WEU-DEU,urb,2025,3719258578.3365717,electricity
C-WEU-DEU,urb,2030,3877438223.100422,electricity
C-WEU-DEU,urb,2035,4010513749.1028795,electricity
C-WEU-DEU,urb,2040,4140363550.482922,electricity
C-WEU-DEU,urb,2045,4262998579.3325667,electricity
C-WEU-DEU,urb,2050,4367250237.732014,electricity
C-WEU-DEU,urb,2055,4457195099.835715,electricity
C-WEU-DEU,urb,2060,4533319518.615659,electricity
C-WEU-DEU,urb,2070,4655081975.835647,electricity
C-WEU-DEU,urb,2080,4732344679.697142,electricity
C-WEU-DEU,urb,2090,4728859119.685139,electricity
C-WEU-DEU,urb,2100,4671344121.202059,electricity
C-WEU-DNK,rur,2020,7312882.081641782,electricity
C-WEU-DNK,rur,2025,6812044.03858985,electricity
C-WEU-DNK,rur,2030,6362925.233726552,electricity
C-WEU-DNK,rur,2035,5974273.971802559,electricity
C-WEU-DNK,rur,2040,5615104.246575005,electricity
C-WEU-DNK,rur,2045,5325752.314721324,electricity
C-WEU-DNK,rur,2050,5019431.489117984,electricity
C-WEU-DNK,rur,2055,4753314.256328937,electricity
C-WEU-DNK,rur,2060,4472259.972867253,electricity
C-WEU-DNK,rur,2070,3950719.0105844047,electricity
C-WEU-DNK,rur,2080,3483135.4408179712,electricity
C-WEU-DNK,rur,2090,3058764.59176429,electricity
C-WEU-DNK,rur,2100,2682039.133536368,electricity
C-WEU-DNK,urb,2020,60471328.518554494,electricity
C-WEU-DNK,urb,2025,66308520.545080684,electricity
C-WEU-DNK,urb,2030,71152771.94578314,electricity
C-WEU-DNK,urb,2035,75553353.2560465,electricity
C-WEU-DNK,urb,2040,79484328.02288266,electricity
C-WEU-DNK,urb,2045,83232228.6735483,electricity
C-WEU-DNK,urb,2050,86909608.33074886,electricity
C-WEU-DNK,urb,2055,90264189.39156878,electricity
C-WEU-DNK,urb,2060,93423799.44450957,electricity
C-WEU-DNK,urb,2070,99218585.62954506,electricity
C-WEU-DNK,urb,2080,104172331.27383673,electricity
C-WEU-DNK,urb,2090,107300508.03367433,electricity
C-WEU-DNK,urb,2100,108928702.1317695,electricity
C-WEU-ESP,rur,2020,8702211602.96424,electricity
C-WEU-ESP,rur,2025,8542581801.501092,electricity
C-WEU-ESP,rur,2030,8245615222.537929,electricity
C-WEU-ESP,rur,2035,8185237780.536833,electricity
C-WEU-ESP,rur,2040,8106567435.730666,electricity
C-WEU-ESP,rur,2045,7965561603.9062,electricity
C-WEU-ESP,rur,2050,7857767302.997007,electricity
C-WEU-ESP,rur,2055,7814596928.422567,electricity
C-WEU-ESP,rur,2060,7809213142.304447,electricity
C-WEU-ESP,rur,2070,7503900835.797944,electricity
C-WEU-ESP,rur,2080,7017873284.432151,electricity
C-WEU-ESP,rur,2090,6513017327.928857,electricity
C-WEU-ESP,rur,2100,5831259743.554121,electricity
C-WEU-ESP,urb,2020,29439564968.118286,electricity
C-WEU-ESP,urb,2025,31009504785.062786,electricity
C-WEU-ESP,urb,2030,32954145516.5804,electricity
C-WEU-ESP,urb,2035,34510980979.35536,electricity
C-WEU-ESP,urb,2040,36070324737.914,electricity
C-WEU-ESP,urb,2045,37606253595.73476,electricity
C-WEU-ESP,urb,2050,39204176541.897575,electricity
C-WEU-ESP,urb,2055,40647549379.16893,electricity
C-WEU-ESP,urb,2060,41575935252.17762,electricity
C-WEU-ESP,urb,2070,42635171211.341896,electricity
C-WEU-ESP,urb,2080,43003172334.48359,electricity
C-WEU-ESP,urb,2090,43315113776.87194,electricity
C-WEU-ESP,urb,2100,43049193457.26126,electricity
C-WEU-FIN,rur,2020,4532973.257960702,electricity
C-WEU-FIN,rur,2025,4253102.448930252,electricity
C-WEU-FIN,rur,2030,3990836.2787958384,electricity
C-WEU-FIN,rur,2035,3751555.0656301393,electricity
C-WEU-FIN,rur,2040,3547560.9213387305,electricity
C-WEU-FIN,rur,2045,3376751.585230114,electricity
C-WEU-FIN,rur,2050,3206382.8370863344,electricity
C-WEU-FIN,rur,2055,3049432.96942037,electricity
C-WEU-FIN,rur,2060,2890044.527059804,electricity
C-WEU-FIN,rur,2070,2636355.309112913,electricity
C-WEU-FIN,rur,2080,2404119.3270555595,electricity
C-WEU-FIN,rur,2090,2181485.0745013673,electricity
C-WEU-FIN,rur,2100,1986448.2516893658,electricity
C-WEU-FIN,urb,2020,30526809.477304492,electricity
C-WEU-FIN,urb,2025,33659670.99702783,electricity
C-WEU-FIN,urb,2030,36192214.09595818,electricity
C-WEU-FIN,urb,2035,38701738.61151677,electricity
C-WEU-FIN,urb,2040,41070556.309650145,electricity
C-WEU-FIN,urb,2045,43399893.38617751,electricity
C-WEU-FIN,urb,2050,45800705.98763293,electricity
C-WEU-FIN,urb,2055,47902923.94738023,electricity
C-WEU-FIN,urb,2060,49876659.72245751,electricity
C-WEU-FIN,urb,2070,53723446.99393608,electricity
C-WEU-FIN,urb,2080,56718095.339601345,electricity
C-WEU-FIN,urb,2090,58306345.97073734,electricity
C-WEU-FIN,urb,2100,59073180.294824235,electricity
C-WEU-FRA,rur,2020,669151156.8906468,electricity
C-WEU-FRA,rur,2025,901744751.3023733,electricity
C-WEU-FRA,rur,2030,1099753365.964752,electricity
C-WEU-FRA,rur,2035,1252669861.4808173,electricity
