"region","scenario","gdp_cap_2020","gdp_cap_2025","gdp_cap_2030","gdp_cap_2035","gdp_cap_2040","gdp_cap_2045","gdp_cap_2050","gdp_cap_2055","gdp_cap_2060","gdp_cap_2065","gdp_cap_2070","gdp_cap_2075","gdp_cap_2080","gdp_cap_2085","gdp_cap_2090","gdp_cap_2095","gdp_cap_2100","unit"
"R32JPN","SSP3",40188.7655846492,43899.2804429142,44742.0657604147,44596.2463031691,43665.7237666365,42720.9374454949,41949.293559901,41271.8022088202,40481.5736901029,39896.7979582074,39588.4665414291,39466.5583781238,39444.4221346796,39424.0078578881,39443.9583336243,39527.1359515062,39654.8823762494,"USD_2005"
"R32JPN","SSP4",40188.7655846492,43899.2808283728,45550.4378794132,47810.0240549781,50943.0102313135,54710.5705978135,58616.8580370561,62489.1969588835,66078.8693532801,69905.0427422956,74147.0952786952,78561.9219553569,82834.0640960888,86623.6130821009,90029.5333130585,93230.8611739033,96224.7664679461,"USD_2005"
"R32JPN","SSP5",40188.7655846492,43899.2807306656,45972.9721177471,49748.0636604212,55377.210485192,61924.0104009251,68728.95900294,75757.5530532919,82810.2188993989,90557.1329128896,99271.5266902608,108684.627442207,118368.415893662,127806.212626852,137040.977525954,146260.870160923,155463.194038842,"USD_2005"
"R32KOR","SSP1",42389.6695840816,47968.5868065213,52291.3658578535,57315.3862167338,62805.6889753001,68022.5808487319,72764.077235924,77624.7794849691,82441.6246961448,87582.2056531776,91959.5145474451,96346.1822163397,99515.5937137959,102135.047493863,105477.400150529,109214.25585809,112297.593971185,"USD_2005"
"R32KOR","SSP2",42389.6695840816,47968.5913284773,51891.2564455694,55787.0912794021,59557.0906042442,63107.1430479301,66462.1599778802,70172.336205751,73974.7499175625,78121.4346270201,81555.911504634,84932.5082024999,87315.1168638792,89349.1611259932,92089.909871252,95261.347831232,98041.3394764855,"USD_2005"
"R32KOR","SSP3",42389.6695840816,47968.5821528773,51280.5145560911,53596.7655957823,54844.4639466027,55460.8010016352,55862.9479923119,56646.2004777127,57544.4579832524,58712.4953990762,59308.246476762,59867.4141901348,59818.0334418338,59679.2795640692,60137.3604044255,60938.158894005,61492.5444737458,"USD_2005"
"R32KOR","SSP4",42389.6695840816,47968.5938860492,52256.4940404357,57127.9238996694,62322.7606970913,67140.3679292239,71433.9381071434,75806.7183665382,80094.172324808,84647.050739373,88422.1811676889,92182.8081441436,94813.3918768101,97015.1541767541,99993.7088613238,103433.846751284,106327.936969717,"USD_2005"
"R32KOR","SSP5",42389.6695840816,47968.5856046893,52878.0351835038,59571.0219305862,67575.5574475729,75432.9306276636,82843.8774362388,90645.9244805607,98758.1132268067,107684.800474463,116157.673932552,125057.625436863,132907.079724143,140467.094928682,149215.984244177,158782.478166992,167901.176981786,"USD_2005"
"R32LAM-L","SSP1",5740.89901479274,6563.5496626324,7534.60070205777,9007.60070301213,11101.887909336,13798.4536906278,17097.7804544878,21050.3833283648,25727.0158091909,31133.3728050276,37279.6729313987,44153.1835875255,51625.399077233,59626.223641617,68027.9326799982,76796.3418193591,85814.6333891488,"USD_2005"
"R32LAM-L","SSP2",5740.89901479274,6563.03265189231,7391.17231316019,8510.18920703816,9958.2614748255,11779.6911888909,14009.3240544253,16684.0503806426,19826.3638417317,23454.1410327273,27594.8499378167,32270.125398487,37420.3698794796,43013.0066221367,48984.3849196952,55328.7391267935,62010.4563067979,"USD_2005"
"R32LAM-L","SSP3",5740.89901479274,6563.02855648519,7262.85815648845,8033.26650049331,8794.77508164624,9570.14913435473,10383.1166423232,11214.2283379547,12013.4526280036,12777.3657169745,13511.4728181849,14228.5394970741,14904.2660574997,15535.2319294978,16112.8954641887,16654.1378457972,17172.3121224415,"USD_2005"
"R32LAM-L","SSP4",5740.89901479274,6563.13062764295,7295.74912159479,8234.49129558697,9416.92194191369,10907.9924769399,12720.2364670534,14865.40935146,17302.9054604849,20053.0613792408,23144.4752374766,26617.4773945705,30439.3820341948,34599.9441624546,39069.3085349322,43868.5798179743,49018.3590154811,"USD_2005"
"R32LAM-L","SSP5",5740.89901479274,6563.57929145191,7610.27200685548,9396.38741163555,12168.2746056853,15853.311945036,20444.448016445,26071.5678956529,32898.1539481125,41010.873244148,50511.2655516617,61474.5937128898,73811.9505454578,87515.1942481566,102488.312868048,118756.242141826,136213.432088484,"USD_2005"
"R32LAM-M","SSP1",13138.0517089509,15696.1758323013,17576.6476503909,20581.9631747384,24278.1142223638,27740.0937944508,30964.9908945946,34335.0232409058,38112.682940915,42328.0172999286,46946.4604171388,51872.5818122833,56978.361253231,62286.3257628313,67786.9013134382,73385.6255219883,78943.292358686,"USD_2005"
"R32LAM-M","SSP2",13138.0517089509,15690.6256204623,17306.7959495655,19546.093987494,22161.6265592874,24734.3558942972,27137.9996359486,29528.4708043853,32104.6082955126,34974.4251966258,38164.6880696091,41637.4790958388,45309.2947932791,49200.807623362,53305.8851211064,57571.2698225162,61931.5557170985,"USD_2005"
"R32LAM-M","SSP3",13138.0517089509,15680.997815,16989.0499909832,18383.3004430801,19653.4094890322,20777.4271156246,21741.851871831,22476.9310899609,22965.3071826078,23301.3837686039,23582.9803119944,23858.9950926986,24115.748561379,24377.6560830892,24644.316406355,24897.5376486898,25125.0719014196,"USD_2005"
"R32LAM-M","SSP4",13138.0517089509,15687.6200055591,17253.5594355333,19509.11566928,22187.1531905041,24755.2725792771,27090.1490146231,29425.8866006571,31922.890479285,34698.9055853421,37783.3192567564,41158.6139961116,44751.9358838737,48579.6474282708,52634.4201197235,56889.9156049399,61328.6283273114,"USD_2005"
"R32LAM-M","SSP5",13138.0517089509,15707.2083222767,17828.5172476546,21603.7004079057,26319.6135959583,30793.4574711758,35341.9027563302,40458.9268510991,46395.1185651389,53178.7785443798,60798.4821491023,69182.241349671,78217.4424497275,87990.8737355473,98534.1286583648,109744.993289358,121448.977341021,"USD_2005"
"R32MEA-H","SSP1",47676.061174585,55931.2998219694,60353.4483984018,65946.0372683313,71782.952740275,77502.1429498282,83465.280475339,90080.2056780239,97534.3377360546,106049.503568804,115916.498322173,127208.226254948,139859.872967655,154218.87615779,169967.135438497,186474.473144297,203518.657603551,"USD_2005"
"R32MEA-H","SSP2",47676.061174585,55923.5531277051,59905.9726925793,64563.8031588038,69301.1870150158,73882.9046541443,78663.2817743616,83961.3686961932,89831.6598198343,96475.9951842535,104134.677519259,112898.488486884,122720.706446504,133889.821516391,146181.077230688,159235.069585864,173011.98121855,"USD_2005"
