scenario_supply,region_gea,material,production,year,emission_factor,unit
1p5C,CPA,copper,secondary,2025,1.6368501035,kgco2e/kg
1p5C,CPA,copper,secondary,2030,1.16054612,kgco2e/kg
1p5C,CPA,copper,secondary,2040,1.023224243,kgco2e/kg
1p5C,CPA,copper,secondary,2050,0.990030314,kgco2e/kg
1p5C,CPA,copper,secondary,2060,0.977676894,kgco2e/kg
1p5C,CPA,copper,secondary,2070,0.97394825,kgco2e/kg
1p5C,CPA,copper,secondary,2080,0.986396537,kgco2e/kg
1p5C,CPA,copper,secondary,2090,0.981132338,kgco2e/kg
1p5C,CPA,copper,secondary,2100,0.979990944,kgco2e/kg
1p5C,CPA,glass,primary,2020,1.128042383,kgco2e/kg
1p5C,CPA,glass,primary,2025,1.1136197635,kgco2e/kg
1p5C,CPA,glass,primary,2030,0.895308392,kgco2e/kg
1p5C,CPA,glass,primary,2040,0.795093691,kgco2e/kg
1p5C,CPA,glass,primary,2050,0.747515566,kgco2e/kg
1p5C,CPA,glass,primary,2060,0.72113265,kgco2e/kg
1p5C,CPA,glass,primary,2070,0.728788002,kgco2e/kg
1p5C,CPA,glass,primary,2080,0.755912338,kgco2e/kg
1p5C,CPA,glass,primary,2090,0.770691698,kgco2e/kg
1p5C,CPA,glass,primary,2100,0.773585957,kgco2e/kg
1p5C,CPA,mortar,primary,2020,0.219366782,kgco2e/kg
1p5C,CPA,mortar,primary,2025,0.21786172450000002,kgco2e/kg
1p5C,CPA,mortar,primary,2030,0.17901792,kgco2e/kg
1p5C,CPA,mortar,primary,2040,0.117691314,kgco2e/kg
1p5C,CPA,mortar,primary,2050,0.084204459,kgco2e/kg
1p5C,CPA,mortar,primary,2060,0.036386904,kgco2e/kg
1p5C,CPA,mortar,primary,2070,0.035249515,kgco2e/kg
1p5C,CPA,mortar,primary,2080,0.034792042,kgco2e/kg
1p5C,CPA,mortar,primary,2090,0.034473232,kgco2e/kg
1p5C,CPA,mortar,primary,2100,0.034462163,kgco2e/kg
1p5C,CPA,plaster,primary,2020,0.907684029,kgco2e/kg
1p5C,CPA,plaster,primary,2025,0.896430422,kgco2e/kg
1p5C,CPA,plaster,primary,2030,0.721269119,kgco2e/kg
1p5C,CPA,plaster,primary,2040,0.628473152,kgco2e/kg
1p5C,CPA,plaster,primary,2050,0.583241173,kgco2e/kg
1p5C,CPA,plaster,primary,2060,0.54982831,kgco2e/kg
1p5C,CPA,plaster,primary,2070,0.555299729,kgco2e/kg
1p5C,CPA,plaster,primary,2080,0.575536345,kgco2e/kg
1p5C,CPA,plaster,primary,2090,0.586518466,kgco2e/kg
1p5C,CPA,plaster,primary,2100,0.588678313,kgco2e/kg
1p5C,CPA,steel,primary,2020,0.880637012,kgco2e/kg
1p5C,CPA,steel,primary,2025,0.8695784485,kgco2e/kg
1p5C,CPA,steel,primary,2030,0.699907136,kgco2e/kg
1p5C,CPA,steel,primary,2040,0.614488724,kgco2e/kg
1p5C,CPA,steel,primary,2050,0.573039968,kgco2e/kg
1p5C,CPA,steel,primary,2060,0.544990807,kgco2e/kg
1p5C,CPA,steel,primary,2070,0.550432356,kgco2e/kg
1p5C,CPA,steel,primary,2080,0.570650828,kgco2e/kg
1p5C,CPA,steel,primary,2090,0.581706625,kgco2e/kg
1p5C,CPA,steel,primary,2100,0.583892178,kgco2e/kg
1p5C,CPA,steel,secondary,2020,1.650324957,kgco2e/kg
1p5C,CPA,steel,secondary,2025,1.6368501035,kgco2e/kg
1p5C,CPA,steel,secondary,2030,1.16054612,kgco2e/kg
1p5C,CPA,steel,secondary,2040,1.023224243,kgco2e/kg
1p5C,CPA,steel,secondary,2050,0.990030314,kgco2e/kg
1p5C,CPA,steel,secondary,2060,0.977676894,kgco2e/kg
1p5C,CPA,steel,secondary,2070,0.97394825,kgco2e/kg
1p5C,CPA,steel,secondary,2080,0.986396537,kgco2e/kg
1p5C,CPA,steel,secondary,2090,0.981132338,kgco2e/kg
1p5C,CPA,steel,secondary,2100,0.979990944,kgco2e/kg
1p5C,CPA,wood,primary,2020,0.131523389,kgco2e/kg
1p5C,CPA,wood,primary,2025,0.129721068,kgco2e/kg
1p5C,CPA,wood,primary,2030,0.08090179,kgco2e/kg
1p5C,CPA,wood,primary,2040,0.063087695,kgco2e/kg
1p5C,CPA,wood,primary,2050,0.055835606,kgco2e/kg
1p5C,CPA,wood,primary,2060,0.05215935,kgco2e/kg
1p5C,CPA,wood,primary,2070,0.048932917,kgco2e/kg
1p5C,CPA,wood,primary,2080,0.048168347,kgco2e/kg
1p5C,CPA,wood,primary,2090,0.048048972,kgco2e/kg
1p5C,CPA,wood,primary,2100,0.048945219,kgco2e/kg
