region_gea,material,production,unit,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
LAC,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
LAC,steel,primary,kgco2e/kg,2020,1.86375033,1.86375033,0,0
LAC,steel,primary,kgco2e/kg,2025,1.817231641,1.817231641,0,0
LAC,steel,secondary,kgco2e/kg,2020,1.200055937,1.200055937,0,0
LAC,steel,secondary,kgco2e/kg,2025,1.172936032,1.172936032,0,0
LAC,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
LAC,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
MEA,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
MEA,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
MEA,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
MEA,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
MEA,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
MEA,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
MEA,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
MEA,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
MEA,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
MEA,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
MEA,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
MEA,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
MEA,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
MEA,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
MEA,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
MEA,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
MEA,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
MEA,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
MEA,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
MEA,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
MEA,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
MEA,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
MEA,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
MEA,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
NAM,aluminum,primary,kgco2e/kg,2020,14.50751932,14.50751932,0,0
NAM,aluminum,primary,kgco2e/kg,2025,14.38359667,14.38359667,0,0
NAM,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
NAM,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
NAM,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
NAM,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
NAM,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
NAM,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
NAM,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
NAM,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
NAM,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
NAM,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
NAM,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
NAM,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
NAM,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
NAM,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
NAM,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
NAM,plaster,primary,kgco2e/kg,2025,0.896430422,0.896430422,0,0
NAM,steel,primary,kgco2e/kg,2020,0.880637012,0.880637012,0,0
NAM,steel,primary,kgco2e/kg,2025,0.8695784485,0.8695784485,0,0
NAM,steel,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
NAM,steel,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
NAM,wood,primary,kgco2e/kg,2020,0.131523389,0.131523389,0,0
NAM,wood,primary,kgco2e/kg,2025,0.129721068,0.129721068,0,0
PAO,aluminum,primary,kgco2e/kg,2020,13.72118815,13.72118815,0,0
PAO,aluminum,primary,kgco2e/kg,2025,12.998275695,12.998275695,0,0
PAO,aluminum,secondary,kgco2e/kg,2020,0.922967288,0.922967288,0,0
PAO,aluminum,secondary,kgco2e/kg,2025,0.911334575,0.911334575,0,0
PAO,brick,primary,kgco2e/kg,2020,0.255354211,0.255354211,0,0
PAO,brick,primary,kgco2e/kg,2025,0.25439529,0.25439529,0,0
PAO,concrete,primary,kgco2e/kg,2020,0.82534951,0.82534951,0,0
PAO,concrete,primary,kgco2e/kg,2025,0.811688062,0.811688062,0,0
PAO,copper,primary,kgco2e/kg,2020,5.671664441,5.671664441,0,0
PAO,copper,primary,kgco2e/kg,2025,5.5737000525,5.5737000525,0,0
PAO,copper,secondary,kgco2e/kg,2020,1.650324957,1.650324957,0,0
PAO,copper,secondary,kgco2e/kg,2025,1.6368501035,1.6368501035,0,0
PAO,glass,primary,kgco2e/kg,2020,1.128042383,1.128042383,0,0
PAO,glass,primary,kgco2e/kg,2025,1.1136197635,1.1136197635,0,0
PAO,mortar,primary,kgco2e/kg,2020,0.219366782,0.219366782,0,0
PAO,mortar,primary,kgco2e/kg,2025,0.21786172450000002,0.21786172450000002,0,0
PAO,plaster,primary,kgco2e/kg,2020,0.907684029,0.907684029,0,0
