"","type","MESSAGE_R12","year","scenario","emission_factor","unit"
"69","primary_aluminium","LAM",2020,"image_ssp2_base",11.8449667396291,"kgco2e/kg"
"70","primary_aluminium","LAM",2030,"image_ssp2_base",11.2657316366029,"kgco2e/kg"
"71","primary_aluminium","LAM",2030,"image_ssp2_rcp19",7.89987108050473,"kgco2e/kg"
"72","primary_aluminium","LAM",2040,"image_ssp2_base",10.2678533698771,"kgco2e/kg"
"73","primary_aluminium","LAM",2040,"image_ssp2_rcp19",6.9911808747974,"kgco2e/kg"
"74","primary_aluminium","LAM",2050,"image_ssp2_base",10.8408567948919,"kgco2e/kg"
"75","primary_aluminium","LAM",2050,"image_ssp2_rcp19",6.97374215805251,"kgco2e/kg"
"76","primary_aluminium","LAM",2060,"image_ssp2_base",11.1602354677114,"kgco2e/kg"
"77","primary_aluminium","LAM",2060,"image_ssp2_rcp19",6.89210776919721,"kgco2e/kg"
"78","primary_aluminium","LAM",2070,"image_ssp2_base",11.3943362313723,"kgco2e/kg"
"79","primary_aluminium","LAM",2070,"image_ssp2_rcp19",6.804074640518,"kgco2e/kg"
"80","primary_aluminium","LAM",2080,"image_ssp2_base",11.1898573945856,"kgco2e/kg"
"81","primary_aluminium","LAM",2080,"image_ssp2_rcp19",6.86125266142408,"kgco2e/kg"
"82","primary_aluminium","LAM",2090,"image_ssp2_base",11.2953253708109,"kgco2e/kg"
"83","primary_aluminium","LAM",2090,"image_ssp2_rcp19",6.68711819270238,"kgco2e/kg"
"84","primary_aluminium","LAM",2100,"image_ssp2_base",11.3886298343241,"kgco2e/kg"
"85","primary_aluminium","LAM",2100,"image_ssp2_rcp19",6.6624692375112,"kgco2e/kg"
"86","primary_aluminium","MEA",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"87","primary_aluminium","MEA",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"88","primary_aluminium","MEA",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"89","primary_aluminium","MEA",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
