"","scenario_supply","region_gea","material","production","year","emission_factor","unit"
"31","NPi","CHN","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"32","1p5C","CHN","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"33","NPi","CHN","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"34","1p5C","CHN","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"35","NPi","EEU","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"36","NPi","EEU","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"37","1p5C","EEU","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"38","NPi","EEU","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"39","1p5C","EEU","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"40","NPi","EEU","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"41","1p5C","EEU","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"42","NPi","EEU","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"43","1p5C","EEU","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"44","NPi","EEU","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"45","1p5C","EEU","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"46","NPi","EEU","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"47","1p5C","EEU","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"48","NPi","EEU","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"49","1p5C","EEU","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"50","NPi","EEU","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"51","1p5C","EEU","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"52","NPi","FSU","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"53","NPi","FSU","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"54","1p5C","FSU","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"55","NPi","FSU","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"56","1p5C","FSU","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"57","NPi","FSU","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"58","1p5C","FSU","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"59","NPi","FSU","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"60","1p5C","FSU","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"61","NPi","FSU","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"62","1p5C","FSU","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"63","NPi","FSU","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"64","1p5C","FSU","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"65","NPi","FSU","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"66","1p5C","FSU","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"67","NPi","FSU","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"68","1p5C","FSU","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"69","NPi","LAM","aluminium","primary",2020,11.8449667396291,"kgco2e/kg"
"70","NPi","LAM","aluminium","primary",2030,11.2657316366029,"kgco2e/kg"
"71","1p5C","LAM","aluminium","primary",2030,7.89987108050473,"kgco2e/kg"
"72","NPi","LAM","aluminium","primary",2040,10.2678533698771,"kgco2e/kg"
"73","1p5C","LAM","aluminium","primary",2040,6.9911808747974,"kgco2e/kg"
"74","NPi","LAM","aluminium","primary",2050,10.8408567948919,"kgco2e/kg"
"75","1p5C","LAM","aluminium","primary",2050,6.97374215805251,"kgco2e/kg"
"76","NPi","LAM","aluminium","primary",2060,11.1602354677114,"kgco2e/kg"
"77","1p5C","LAM","aluminium","primary",2060,6.89210776919721,"kgco2e/kg"
"78","NPi","LAM","aluminium","primary",2070,11.3943362313723,"kgco2e/kg"
"79","1p5C","LAM","aluminium","primary",2070,6.804074640518,"kgco2e/kg"
"80","NPi","LAM","aluminium","primary",2080,11.1898573945856,"kgco2e/kg"
"81","1p5C","LAM","aluminium","primary",2080,6.86125266142408,"kgco2e/kg"
"82","NPi","LAM","aluminium","primary",2090,11.2953253708109,"kgco2e/kg"
"83","1p5C","LAM","aluminium","primary",2090,6.68711819270238,"kgco2e/kg"
"84","NPi","LAM","aluminium","primary",2100,11.3886298343241,"kgco2e/kg"
"85","1p5C","LAM","aluminium","primary",2100,6.6624692375112,"kgco2e/kg"
"86","NPi","MEA","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"87","NPi","MEA","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"88","1p5C","MEA","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"89","NPi","MEA","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"90","1p5C","MEA","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"91","NPi","MEA","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"92","1p5C","MEA","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"93","NPi","MEA","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"94","1p5C","MEA","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"95","NPi","MEA","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"96","1p5C","MEA","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"97","NPi","MEA","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"98","1p5C","MEA","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"99","NPi","MEA","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"100","1p5C","MEA","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"101","NPi","MEA","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"102","1p5C","MEA","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"103","NPi","NAM","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"104","NPi","NAM","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"105","1p5C","NAM","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"106","NPi","NAM","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"107","1p5C","NAM","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"108","NPi","NAM","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"109","1p5C","NAM","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"110","NPi","NAM","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"111","1p5C","NAM","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"112","NPi","NAM","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"113","1p5C","NAM","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"114","NPi","NAM","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"115","1p5C","NAM","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"116","NPi","NAM","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"117","1p5C","NAM","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"118","NPi","NAM","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"119","1p5C","NAM","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"120","NPi","PAO","aluminium","primary",2020,13.7211881474844,"kgco2e/kg"
"121","NPi","PAO","aluminium","primary",2030,12.2753632392367,"kgco2e/kg"
"122","1p5C","PAO","aluminium","primary",2030,7.00567551141327,"kgco2e/kg"
"123","NPi","PAO","aluminium","primary",2040,11.1202460386238,"kgco2e/kg"
"124","1p5C","PAO","aluminium","primary",2040,6.0726188247278,"kgco2e/kg"
"125","NPi","PAO","aluminium","primary",2050,10.715478119571,"kgco2e/kg"
"126","1p5C","PAO","aluminium","primary",2050,5.94242278226014,"kgco2e/kg"
"127","NPi","PAO","aluminium","primary",2060,10.1245918012602,"kgco2e/kg"
"128","1p5C","PAO","aluminium","primary",2060,5.87812845278253,"kgco2e/kg"
"129","NPi","PAO","aluminium","primary",2070,8.37114759390727,"kgco2e/kg"
"130","1p5C","PAO","aluminium","primary",2070,5.83992957076705,"kgco2e/kg"
"131","NPi","PAO","aluminium","primary",2080,7.47948565759302,"kgco2e/kg"
"132","1p5C","PAO","aluminium","primary",2080,5.81938906580334,"kgco2e/kg"
"133","NPi","PAO","aluminium","primary",2090,7.23380635459816,"kgco2e/kg"
"134","1p5C","PAO","aluminium","primary",2090,5.79885954355615,"kgco2e/kg"
"135","NPi","PAO","aluminium","primary",2100,7.41464266102326,"kgco2e/kg"
"136","1p5C","PAO","aluminium","primary",2100,5.80187565937488,"kgco2e/kg"
"137","NPi","PAS","aluminium","primary",2020,16.2161911377157,"kgco2e/kg"
"138","NPi","PAS","aluminium","primary",2030,15.7106943530088,"kgco2e/kg"
"139","1p5C","PAS","aluminium","primary",2030,10.198058397614,"kgco2e/kg"
"140","NPi","PAS","aluminium","primary",2040,15.2461448981017,"kgco2e/kg"
"141","1p5C","PAS","aluminium","primary",2040,8.11078095445102,"kgco2e/kg"
"142","NPi","PAS","aluminium","primary",2050,14.5784367682729,"kgco2e/kg"
"143","1p5C","PAS","aluminium","primary",2050,7.18845300731451,"kgco2e/kg"
"144","NPi","PAS","aluminium","primary",2060,12.7522153062608,"kgco2e/kg"
"145","1p5C","PAS","aluminium","primary",2060,6.94836297762393,"kgco2e/kg"
"146","NPi","PAS","aluminium","primary",2070,12.0594509743187,"kgco2e/kg"
"147","1p5C","PAS","aluminium","primary",2070,6.46394295791415,"kgco2e/kg"
"148","NPi","PAS","aluminium","primary",2080,11.534051562977,"kgco2e/kg"
"149","1p5C","PAS","aluminium","primary",2080,6.46441813016248,"kgco2e/kg"
"150","NPi","PAS","aluminium","primary",2090,11.1320728356242,"kgco2e/kg"
"151","1p5C","PAS","aluminium","primary",2090,6.46703761252859,"kgco2e/kg"
"152","NPi","PAS","aluminium","primary",2100,11.5057227230423,"kgco2e/kg"
"153","1p5C","PAS","aluminium","primary",2100,6.32809573777136,"kgco2e/kg"
"154","NPi","RCPA","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"155","NPi","RCPA","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"156","1p5C","RCPA","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"157","NPi","RCPA","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"158","1p5C","RCPA","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"159","NPi","RCPA","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"160","1p5C","RCPA","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"161","NPi","RCPA","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"162","1p5C","RCPA","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"163","NPi","RCPA","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"164","1p5C","RCPA","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"165","NPi","RCPA","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"166","1p5C","RCPA","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"167","NPi","RCPA","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"168","1p5C","RCPA","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"169","NPi","RCPA","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"170","1p5C","RCPA","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"171","NPi","SAS","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"172","NPi","SAS","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"173","1p5C","SAS","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"174","NPi","SAS","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"175","1p5C","SAS","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"176","NPi","SAS","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"177","1p5C","SAS","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"178","NPi","SAS","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"179","1p5C","SAS","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"180","NPi","SAS","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"181","1p5C","SAS","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"182","NPi","SAS","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"183","1p5C","SAS","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"184","NPi","SAS","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"185","1p5C","SAS","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"186","NPi","SAS","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"187","1p5C","SAS","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"188","NPi","WEU","aluminium","primary",2020,14.5075193220672,"kgco2e/kg"
"189","NPi","WEU","aluminium","primary",2030,14.2596740244073,"kgco2e/kg"
"190","1p5C","WEU","aluminium","primary",2030,9.0009084096818,"kgco2e/kg"
"191","NPi","WEU","aluminium","primary",2040,14.1431842283059,"kgco2e/kg"
"192","1p5C","WEU","aluminium","primary",2040,7.18699829169004,"kgco2e/kg"
"193","NPi","WEU","aluminium","primary",2050,13.7128182589558,"kgco2e/kg"
"194","1p5C","WEU","aluminium","primary",2050,6.84859989981724,"kgco2e/kg"
"195","NPi","WEU","aluminium","primary",2060,12.2380939921977,"kgco2e/kg"
"196","1p5C","WEU","aluminium","primary",2060,6.78869663861737,"kgco2e/kg"
"197","NPi","WEU","aluminium","primary",2070,11.626246883642,"kgco2e/kg"
"198","1p5C","WEU","aluminium","primary",2070,6.70425093910982,"kgco2e/kg"
"199","NPi","WEU","aluminium","primary",2080,11.2203701639442,"kgco2e/kg"
"200","1p5C","WEU","aluminium","primary",2080,6.68081731471566,"kgco2e/kg"
"201","NPi","WEU","aluminium","primary",2090,10.8206822897633,"kgco2e/kg"
"202","1p5C","WEU","aluminium","primary",2090,6.59250352289064,"kgco2e/kg"
"203","NPi","WEU","aluminium","primary",2100,10.6050333265886,"kgco2e/kg"
"204","1p5C","WEU","aluminium","primary",2100,6.54924703136514,"kgco2e/kg"
"205","NPi","AFR","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"206","NPi","AFR","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"207","1p5C","AFR","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"208","NPi","AFR","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"209","1p5C","AFR","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"210","NPi","AFR","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"211","1p5C","AFR","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"212","NPi","AFR","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"213","1p5C","AFR","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"214","NPi","AFR","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"215","1p5C","AFR","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"216","NPi","AFR","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"217","1p5C","AFR","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"218","NPi","AFR","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"219","1p5C","AFR","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"220","NPi","AFR","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"221","1p5C","AFR","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"222","NPi","CHN","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"223","NPi","CHN","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"224","1p5C","CHN","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"225","NPi","CHN","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"226","1p5C","CHN","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"227","NPi","CHN","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"228","1p5C","CHN","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"229","NPi","CHN","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"230","1p5C","CHN","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"231","NPi","CHN","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"232","1p5C","CHN","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"233","NPi","CHN","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"234","1p5C","CHN","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"235","NPi","CHN","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"236","1p5C","CHN","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"237","NPi","CHN","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"238","1p5C","CHN","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"239","NPi","EEU","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"240","NPi","EEU","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"241","1p5C","EEU","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"242","NPi","EEU","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"243","1p5C","EEU","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"244","NPi","EEU","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"245","1p5C","EEU","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"246","NPi","EEU","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"247","1p5C","EEU","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"248","NPi","EEU","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"249","1p5C","EEU","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"250","NPi","EEU","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"251","1p5C","EEU","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"252","NPi","EEU","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"253","1p5C","EEU","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"254","NPi","EEU","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"255","1p5C","EEU","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"256","NPi","FSU","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"257","NPi","FSU","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"258","1p5C","FSU","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"259","NPi","FSU","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"260","1p5C","FSU","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"261","NPi","FSU","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"262","1p5C","FSU","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"263","NPi","FSU","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"264","1p5C","FSU","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"265","NPi","FSU","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"266","1p5C","FSU","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"267","NPi","FSU","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"268","1p5C","FSU","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"269","NPi","FSU","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"270","1p5C","FSU","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"271","NPi","FSU","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"272","1p5C","FSU","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"273","NPi","LAM","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"274","NPi","LAM","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"275","1p5C","LAM","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"276","NPi","LAM","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"277","1p5C","LAM","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"278","NPi","LAM","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"279","1p5C","LAM","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"280","NPi","LAM","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"281","1p5C","LAM","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"282","NPi","LAM","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"283","1p5C","LAM","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"284","NPi","LAM","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"285","1p5C","LAM","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"286","NPi","LAM","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"287","1p5C","LAM","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"288","NPi","LAM","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"289","1p5C","LAM","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"290","NPi","MEA","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"291","NPi","MEA","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"292","1p5C","MEA","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"293","NPi","MEA","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"294","1p5C","MEA","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"295","NPi","MEA","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"296","1p5C","MEA","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"297","NPi","MEA","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"298","1p5C","MEA","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"299","NPi","MEA","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"300","1p5C","MEA","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"301","NPi","MEA","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"302","1p5C","MEA","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"303","NPi","MEA","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"304","1p5C","MEA","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"305","NPi","MEA","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"306","1p5C","MEA","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"307","NPi","NAM","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"308","NPi","NAM","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"309","1p5C","NAM","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"310","NPi","NAM","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"311","1p5C","NAM","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"312","NPi","NAM","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"313","1p5C","NAM","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"314","NPi","NAM","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"315","1p5C","NAM","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"316","NPi","NAM","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"317","1p5C","NAM","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"318","NPi","NAM","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"319","1p5C","NAM","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"320","NPi","NAM","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"321","1p5C","NAM","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"322","NPi","NAM","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"323","1p5C","NAM","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"324","NPi","PAO","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"325","NPi","PAO","brick","primary",2030,0.253436368881112,"kgco2e/kg"
"326","1p5C","PAO","brick","primary",2030,0.233040632161683,"kgco2e/kg"
"327","NPi","PAO","brick","primary",2040,0.252067883933655,"kgco2e/kg"
"328","1p5C","PAO","brick","primary",2040,0.224760200955597,"kgco2e/kg"
"329","NPi","PAO","brick","primary",2050,0.249216103092977,"kgco2e/kg"
"330","1p5C","PAO","brick","primary",2050,0.221729875025139,"kgco2e/kg"
"331","NPi","PAO","brick","primary",2060,0.242895938067345,"kgco2e/kg"
"332","1p5C","PAO","brick","primary",2060,0.220215127633579,"kgco2e/kg"
"333","NPi","PAO","brick","primary",2070,0.239871420112532,"kgco2e/kg"
"334","1p5C","PAO","brick","primary",2070,0.219133406060057,"kgco2e/kg"
"335","NPi","PAO","brick","primary",2080,0.23864220810427,"kgco2e/kg"
"336","1p5C","PAO","brick","primary",2080,0.218868300578341,"kgco2e/kg"
"337","NPi","PAO","brick","primary",2090,0.236807361914845,"kgco2e/kg"
"338","1p5C","PAO","brick","primary",2090,0.218697755878831,"kgco2e/kg"
"339","NPi","PAO","brick","primary",2100,0.234254489674243,"kgco2e/kg"
"340","1p5C","PAO","brick","primary",2100,0.218940619582365,"kgco2e/kg"
"341","NPi","PAS","brick","primary",2020,0.255354211059323,"kgco2e/kg"
"342","NPi","PAS","brick","primary",2030,0.253436368881112,"kgco2e/kg"
